make,model,subj1,subj2,subj3,subj4,subj5,subj6,subj7,subj8,subj9,subj10,subj11,subj12,subj13,subj14,subj15,subj16,subj17,subj18,subj19,subj20,subj21,subj22,subj23,subj24,subj25,mpg,reliability,ride
Cadillac,Eldorado,8,0,0,7,9,9,0,4,9,1,2,4,0,5,0,8,9,7,1,0,9,3,8,0,9,3,2,4
Chevrolet,Chevette,0,0,5,1,2,0,0,4,2,3,4,5,1,0,4,3,0,0,3,5,1,5,6,9,8,5,3,2
Chevrolet,Citation,4,0,5,3,3,0,5,8,1,4,1,6,1,6,4,3,5,4,4,7,4,7,7,9,5,4,1,5
Chevrolet,Malibu,6,0,2,7,4,0,0,7,2,3,1,2,1,3,4,5,5,4,5,6,6,8,6,5,8,3,3,4
Ford,Fairmont,2,0,2,4,0,0,6,7,1,5,0,2,1,4,4,3,5,3,0,6,4,8,6,5,5,3,3,4
Ford,Mustang,5,0,0,7,1,9,7,7,0,5,0,2,1,1,0,1,8,5,0,6,5,7,5,5,5,3,2,2
Ford,Pinto,0,0,2,1,0,0,0,3,0,3,0,3,0,2,0,1,5,0,0,5,1,4,0,7,8,4,1,1
Honda,Accord,5,9,5,6,8,9,7,6,0,9,6,9,9,9,5,2,9,9,8,9,7,5,0,7,8,5,5,3
Honda,Civic,4,8,3,6,7,0,9,5,0,7,4,8,8,8,5,2,5,6,7,7,6,5,0,7,5,5,5,3
Lincoln,Continental,7,0,0,8,9,9,0,5,9,2,2,3,0,4,0,9,9,6,2,0,9,1,9,0,9,2,4,5
Plymouth,Gran Fury,7,0,0,6,0,0,0,4,3,4,1,0,1,1,0,7,3,3,3,4,5,8,7,0,8,2,1,5
Plymouth,Horizon,3,0,0,5,0,0,5,6,3,5,4,6,1,3,0,2,4,4,4,6,7,5,6,5,5,4,3,3
Plymouth,Volare,4,0,0,5,0,0,3,6,1,4,0,2,1,6,0,2,7,5,4,4,7,6,5,5,5,2,1,3
Pontiac,Firebird,0,1,0,7,8,9,5,6,1,3,2,0,1,2,0,6,9,5,8,2,6,5,9,0,7,1,1,5
Volkswagen,Dasher,4,8,5,8,6,9,6,5,0,8,8,7,7,7,9,5,3,7,7,8,9,5,0,0,0,5,3,4
Volkswagen,Rabbit,4,8,5,8,5,0,9,7,0,9,6,9,5,7,9,5,4,8,7,8,8,5,0,0,0,5,4,3
Volvo,DL,9,9,8,9,9,9,8,9,0,9,9,9,9,9,8,7,9,8,9,9,1,9,0,0,0,4,5,5
